Cell No.,Nucleus location (X),Nucleus location (Y),Nucleus perimeter,ALD1AH1,KCNT2,HIGD1B,ALD1AH2,PDGFRB,CLDN5,CCL19,DCN,KCNJ8,VEGFC,IL1R1,TAGLN,MFSD2A,RARA,TMEM132C,ACKR1,RGS16,MECOM
1,4708,444371,793.6,1,0,0,9,12,2,1,1,0,0,34,25,31,12,0,2,7,0
2,3630,447522,476.6,0,1,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0
3,1519,444432,484.6,0,0,0,3,2,0,0,0,0,0,0,1,0,1,0,1,0,0
4,4602,447108,409.3,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0
5,1062,444070,455.3,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
6,1331,443897,396.7,0,2,0,0,1,30,0,0,0,5,2,0,0,0,0,0,0,8
7,1069,444393,435.7,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,708,446349,424.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
9,2023,445444,464.7,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0
10,1707,447573,518.8,0,0,0,0,0,35,0,0,0,0,0,6,6,1,0,0,0,2
11,795,446311,409.3,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0
12,3524,446576,513.7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0
13,526,447667,639.4,3,3,0,1,2,0,1,8,0,0,14,3,0,0,0,0,0,0
14,3906,446992,403.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2391,447471,655.2,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,5,0
16,3862,444180,378.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
17,2735,447813,404.4,0,2,0,2,6,0,1,1,0,0,4,0,0,1,0,0,0,0
18,1392,443607,567.5,9,14,0,5,21,0,0,30,0,0,13,1,0,2,2,0,3,0
19,4510,448342,450.9,0,0,0,0,1,1,0,0,0,0,1,1,2,1,1,0,5,1
20,3086,446426,416.7,0,2,0,1,0,1,1,0,0,0,0,0,0,4,0,0,0,0
21,244,444124,488.2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,3246,447455,396.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,2217,445070,405.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,1649,447938,415.5,0,0,0,2,0,39,0,0,0,4,0,2,6,4,0,0,0,6
25,1940,447259,447.8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
26,1245,446094,457.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
27,849,447350,558.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,1438,448163,361.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,994,445899,383.6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
30,3534,446796,466.3,0,1,0,0,0,2,0,0,1,0,3,3,0,3,1,0,1,0
31,2502,447506,349.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,1433,447245,483.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,725,445726,387.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1236,444797,327.6,5,0,0,2,3,0,0,3,0,0,4,0,0,1,0,0,0,0
35,1615,447852,427.7,0,1,0,1,15,2,0,2,9,1,0,4,3,0,0,0,0,2
36,947,448252,433.6,0,0,0,1,0,14,0,0,0,0,2,0,7,2,0,1,0,1
37,3254,447139,381.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
38,2160,446808,375.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
39,2143,445265,395.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1099,443805,327.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
41,4558,445593,571.6,0,0,0,0,3,0,0,0,0,0,10,1,8,15,1,4,10,0
42,3136,445285,404.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,2764,448047,491.1,9,1,0,2,20,0,0,6,0,0,16,2,0,3,2,0,0,0
44,1146,443688,504.2,7,2,0,2,5,2,0,2,0,0,2,0,0,0,1,0,0,0
45,1711,447117,327.6,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
46,4487,446839,530.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,4400,445785,454.6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
48,3920,444940,353.0,0,2,0,0,0,35,0,0,0,5,1,1,4,0,0,0,0,0
49,3828,445019,461.4,1,1,0,3,6,0,1,5,0,0,4,1,1,1,2,0,0,0
50,3301,447797,361.0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0
51,1572,448183,379.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,1
52,2752,447920,577.4,5,5,0,3,22,0,1,25,0,0,13,7,0,1,3,0,3,0
53,2736,445605,455.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1837,447682,695.0,4,6,1,1,11,1,0,6,0,4,14,2,0,0,1,0,4,0
55,2855,448002,454.4,0,4,1,0,22,0,0,2,9,0,2,10,0,1,0,0,0,0
56,1343,446530,408.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57,3579,445649,264.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,1530,446427,407.0,1,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0
59,1795,443824,420.3,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60,2951,446589,435.7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
61,4709,446496,169.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,3894,444823,384.3,0,3,3,0,15,21,0,1,2,0,2,19,2,2,0,0,1,0
63,2970,447726,613.5,0,3,0,3,18,10,0,17,0,1,14,3,0,0,4,0,1,1
64,1316,447936,565.5,5,6,0,2,2,0,2,7,0,0,12,3,1,0,0,0,4,0
65,1258,443650,448.9,3,0,0,1,12,0,1,5,0,3,8,0,0,1,0,0,0,0
66,3228,445389,350.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,1761,447354,447.7,2,3,1,1,10,0,2,7,3,0,6,12,0,0,1,0,0,0
68,1271,446586,406.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,888,445377,447.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
70,1127,443875,332.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,2972,443815,174.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1023,448081,384.8,0,0,0,0,2,0,1,2,0,0,11,1,0,2,0,0,1,0
73,4758,447815,396.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
74,4036,444929,229.5,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0
75,1950,444516,417.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,2857,446766,155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,844,445240,416.7,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
